group_category,total_hits_corpus_wide,n_docs_with_any_hit,top_terms
Governance frame :: State regulator approval,2938,18,secretary(1151); permit(722); class vi(365); authoriz(237); approv(226)
Governance frame :: Industry/technical expertise,590,14,operator(333); geologic(144); technical(40); geological(25); engineering(19)
Governance frame :: Local referendum/voting,89,10,election(64); vote(14); local governing authority(5); police jury(5); ballot(1)
Governance frame :: Property rights protection,65,7,unitiz(19); eminent domain(16); landowner(15); surface right(4); servitude(4)
Governance frame :: Affected-community consultation,196,7,public hearing(89); public notice(31); public comment(29); community(20); stakeholder(15)
Governance frame :: Tribal/Indigenous consultation,62,5,tribe(25); tribal(22); consultation with(11); tunica(2); biloxi(2)
Procedural justice :: Voice/participation,139,5,public hearing(89); public comment(29); testimony(15); participate(6)
Procedural justice :: Neutrality,4,2,objective(3); impartial(1)
Procedural justice :: Trustworthiness,82,7,integrity(40); disclos(15); good faith(14); transparency(9); transparent(3)
Procedural justice :: Dignitary treatment,96,9,notice and(54); respect(41); due process(1)
Recognition justice :: Named LA tribal nations,2,1,tunica-biloxi(2)
Recognition justice :: Sovereignty language,14,3,sovereign(4); sovereignty(4); tribal government(3); government-to-government(2); federally recognized(1)
Recognition justice :: Generic stakeholder framing (contrast case),24,3,stakeholder(15); interested part(9)
Institutional trust :: Competence-based trust signals,58,8,certified(24); expertise(13); qualified(10); technical review(9); capacity to(2)
Institutional trust :: Integrity-based trust signals,367,9,violat(160); penalt(82); enforcement(70); integrity(40); good faith(14)
Legitimacy/support :: Legitimacy/license language,6,3,public trust(3); in the public interest(3)
Legitimacy/support :: Support/opposition language,205,10,approve(146); support(48); reject(5); oppose(4); objection(2)
